"Project1","124","98","360","300"
"Project2","360","284","900","720"
"Project3","229","292","540","720"
"Project4","321","286","840","780"
"Project5","279","350","720","900"
"Project6","352","464","780","1380"
"Project7","297","381","780","1020"
"Project8","263","369","660","960"
"Project9","357","365","900","900"
"Project10","311","284","780","720"
"Project11","341","277","840","600"
"Project12","153","212","420","480"
"Project13","390","319","1020","720"
"Project14","260","218","660","540"
"Project15","215","238","540","600"
"Project16","468","312","1200","660"
"Project17","528","676","1260","1620"
"Project18","232","266","600","840"
"Project19","304","225","780","600"
"Project20","459","395","1080","1080"
"","","","",""
